channelId,title,subscriberCount,viewCount,videoCount,subscriberRank,viewRank,videoRank
UCLEbibgwOY787d16dXshmbg,Judicial Service Commission of Kenya ,2150,225569,138,9.0,8.0,7.0
UCXuseB7juWB7DIgTJcwtHFQ,Parliament of Kenya,68200,7174589,1790,2.0,2.0,2.0
UCBXe79nnuPRYci4acLafjHA,Auto Konnekt Kenya,32600,1140596,39,4.0,6.0,9.0
UCItYlCUeVwwCoEvJb6Juj9w,Kenya Official,3350,1625294,8,8.0,5.0,10.0
UCulxPgZoPJXgmXVTam9suPg,AA Kenya,3710,198445,74,7.0,9.0,8.0
UCn0gQ0-kithNqVM7uIOSWIQ,ANNISAA MEDIA KENYA,3900,423014,773,6.0,7.0,4.0
UCn0gL0gaCE9Moxe0UFIruzw,Betty's Stories From Kenya(Истории Бетти из Кении),27100,4996030,355,5.0,3.0,5.0
UC-ugP6AcvKwiO8gs5BnEXkA,Hope Channel Kenya,97200,8345558,3853,1.0,1.0,1.0
UCzffoFIki_WRPhXm6s_EN1g,Kenya Vision 2030,1300,111409,154,10.0,10.0,6.0
UCByj0XrDmb0UDUui63EOnhA,Edu TV Kenya,37400,2597288,1050,3.0,4.0,3.0
